-------------------- OFFSET 0 --------------------
id=0x0050 flags=0x005C extra=0x0050 sprite=96
id=0x0050 flags=0x0064 extra=0x0050 sprite=104
id=0x0050 flags=0x005D extra=0x0050 sprite=97
id=0x0050 flags=0x0065 extra=0x0050 sprite=105
id=0x005A flags=0x0051 extra=0x005E sprite=81
id=0x0062 flags=0x0051 extra=0x0066 sprite=81
id=0x005B flags=0x0051 extra=0x005F sprite=81
id=0x0063 flags=0x0051 extra=0x0067 sprite=81
id=0x005C flags=0x0051 extra=0x0060 sprite=81
id=0x0064 flags=0x0051 extra=0x0068 sprite=81
id=0x005D flags=0x0051 extra=0x0061 sprite=81
id=0x0065 flags=0x0051 extra=0x0069 sprite=81
id=0xB00A flags=0x00C1 extra=0x04F0 sprite=90
id=0x0052 flags=0x005E extra=0x0052 sprite=98
id=0x0052 flags=0x0066 extra=0x0052 sprite=91
id=0x0052 flags=0x005F extra=0x0052 sprite=99
id=0x0052 flags=0x0067 extra=0x0052 sprite=92
id=0x0052 flags=0x0060 extra=0x0052 sprite=100
id=0x0052 flags=0x0068 extra=0x0052 sprite=93
id=0x0052 flags=0x0061 extra=0x0052 sprite=101
id=0x00C1 flags=0x04F0 extra=0x005A sprite=83
id=0x005E flags=0x0053 extra=0x0062 sprite=83
id=0x0066 flags=0x0053 extra=0x005B sprite=83
id=0x005F flags=0x0053 extra=0x0063 sprite=83
id=0x0067 flags=0x0053 extra=0x005C sprite=83
id=0x0060 flags=0x0053 extra=0x0064 sprite=83
id=0x0068 flags=0x0053 extra=0x005D sprite=83
id=0x0061 flags=0x0053 extra=0x0065 sprite=83
id=0x0069 flags=0x0053 extra=0xB20A sprite=193
id=0x00A0 flags=0x0076 extra=0x0079 sprite=124
id=0x0077 flags=0x007A extra=0x007D sprite=120
id=0x007B flags=0x007E extra=0xB30A sprite=193
id=0x00C1 flags=0x0400 extra=0x0024 sprite=84
id=0xB50A flags=0x00C1 extra=0x0400 sprite=36
id=0x0024 flags=0x0057 extra=0xB70A sprite=193
id=0x00C1 flags=0x0400 extra=0x0024 sprite=78
id=0xB90A flags=0x00C1 extra=0x0400 sprite=36
id=0x0024 flags=0x004D extra=0xBB0A sprite=193
id=0x00C1 flags=0x0400 extra=0x0024 sprite=81
id=0xBD0A flags=0x00C1 extra=0x0400 sprite=36
id=0x0024 flags=0x0053 extra=0x000C sprite=193
id=0x0000 flags=0x0028 extra=0x010C sprite=193
id=0x0000 flags=0x002A extra=0x020C sprite=193
id=0x0000 flags=0x001E extra=0x030C sprite=193
id=0x0000 flags=0x0000 extra=0x040C sprite=193
id=0x0000 flags=0x0000 extra=0x050C sprite=193
id=0x0000 flags=0x0000 extra=0x060C sprite=193
id=0x0000 flags=0x0000 extra=0x070C sprite=193
id=0x0000 flags=0x0000 extra=0x080C sprite=193
id=0x0000 flags=0x0000 extra=0x090C sprite=193
id=0x0000 flags=0x0000 extra=0x0A0C sprite=193
id=0x0000 flags=0x0000 extra=0x0B0C sprite=193
id=0x0000 flags=0x0000 extra=0x0C0C sprite=193
id=0x0000 flags=0x0000 extra=0x0D0C sprite=193
id=0x0000 flags=0x0000 extra=0x0E0C sprite=193
id=0x0000 flags=0x0000 extra=0x0F0C sprite=193
id=0x0000 flags=0x0000 extra=0x100C sprite=193
id=0x0000 flags=0x0000 extra=0x110C sprite=193
id=0x0000 flags=0x0000 extra=0x120C sprite=193
id=0x0000 flags=0x0000 extra=0x130C sprite=193
id=0x0000 flags=0x0000 extra=0x140C sprite=193
id=0x0000 flags=0x0000 extra=0x150C sprite=193
id=0x0000 flags=0x0000 extra=0x160C sprite=193
id=0x0000 flags=0x0000 extra=0x170C sprite=193
id=0x0000 flags=0x0000 extra=0x180C sprite=193
id=0x0000 flags=0x0000 extra=0x190C sprite=193
id=0x0000 flags=0x0000 extra=0x1A0C sprite=193
id=0x0000 flags=0x0000 extra=0x1B0C sprite=193
id=0x0000 flags=0x0000 extra=0x1C0C sprite=193
id=0x0000 flags=0x0030 extra=0x000E sprite=225
id=0x0070 flags=0x006A extra=0x006E sprite=107
id=0x006F flags=0x006C extra=0x0070 sprite=109
id=0x0071 flags=0x010E extra=0x00E1 sprite=0
id=0x0000 flags=0x020E extra=0x00E1 sprite=0
id=0x0000 flags=0x030E extra=0x00C1 sprite=160
id=0x007F flags=0x0082 extra=0x0085 sprite=128
id=0x0083 flags=0x0086 extra=0x0081 sprite=132
id=0x0087 flags=0x040E extra=0x00C1 sprite=0
id=0x0000 flags=0x050E extra=0x00C1 sprite=0
id=0x0000 flags=0x060E extra=0x00C1 sprite=0
id=0x0000 flags=0x070E extra=0x00C1 sprite=0
id=0x0000 flags=0x080E extra=0x00C1 sprite=0
id=0x0000 flags=0x090E extra=0x00C1 sprite=0
id=0x0000 flags=0x0A0E extra=0x00C1 sprite=0
id=0x0000 flags=0x0B0E extra=0x00C1 sprite=0
id=0x0000 flags=0x0C0E extra=0x00C1 sprite=0
id=0x0000 flags=0x0D0E extra=0x00C1 sprite=0
id=0x0000 flags=0x0E0E extra=0x00C1 sprite=0
id=0x0000 flags=0x0F0E extra=0x00C1 sprite=0
id=0x0000 flags=0x100E extra=0x00C1 sprite=0
id=0x0000 flags=0x110E extra=0x00C1 sprite=0
id=0x0000 flags=0x120E extra=0x00C1 sprite=0
id=0x0000 flags=0x130E extra=0x00C1 sprite=0
id=0x0000 flags=0x140E extra=0x00C1 sprite=0
id=0x0000 flags=0x150E extra=0x00C1 sprite=0
id=0x0000 flags=0x160E extra=0x00C1 sprite=0
id=0x0000 flags=0x170E extra=0x00C1 sprite=0
id=0x0000 flags=0x180E extra=0x00C1 sprite=0
id=0x0000 flags=0x190E extra=0x00C1 sprite=0
id=0x0000 flags=0x1A0E extra=0x00C1 sprite=0
id=0x0000 flags=0x1B0E extra=0x00C1 sprite=0
id=0x0000 flags=0x1C0E extra=0x00C1 sprite=0
id=0x0000 flags=0x1D0E extra=0x00C1 sprite=0
id=0x0000 flags=0x1E0E extra=0x00E1 sprite=0
id=0x0000 flags=0x1F0E extra=0x00E1 sprite=0
id=0x0000 flags=0x200E extra=0x00E1 sprite=0
id=0x0000 flags=0x210E extra=0x00E1 sprite=0
id=0x0000 flags=0x220E extra=0x00E1 sprite=0
id=0x0000 flags=0x230E extra=0x00E1 sprite=0
id=0x0000 flags=0x240E extra=0x00E1 sprite=0
id=0x0000 flags=0x250E extra=0x00E1 sprite=0
id=0x0000 flags=0x260E extra=0x00E1 sprite=0
id=0x0000 flags=0x270E extra=0x00E1 sprite=0
id=0x0000 flags=0x280E extra=0x00E1 sprite=0
id=0x0000 flags=0x290E extra=0x00E1 sprite=0
id=0x0000 flags=0x2A0E extra=0x00E1 sprite=0
id=0x0000 flags=0x2B0E extra=0x00E1 sprite=0
id=0x0000 flags=0x2C0E extra=0x00E1 sprite=0
id=0x0000 flags=0x2D0E extra=0x00E1 sprite=0
id=0x0000 flags=0x2E0E extra=0x00E1 sprite=0
id=0x0000 flags=0x2F0E extra=0x00E1 sprite=0
id=0x0000 flags=0x300E extra=0x00E1 sprite=0
id=0x0000 flags=0x310E extra=0x00E1 sprite=0
id=0x0000 flags=0x320E extra=0x00E1 sprite=0
id=0x0000 flags=0x330E extra=0x00E1 sprite=0
id=0x0000 flags=0x340E extra=0x00E1 sprite=0
id=0x0000 flags=0x350E extra=0x00E1 sprite=0
id=0x0000 flags=0x360E extra=0x00C1 sprite=0
id=0x0000 flags=0x370E extra=0x00C1 sprite=0
id=0x0000 flags=0x380E extra=0x00C1 sprite=0
id=0x0000 flags=0x390E extra=0x00C1 sprite=0
id=0x0000 flags=0x3A0E extra=0x00C1 sprite=0
id=0x0000 flags=0x3B0E extra=0x00C1 sprite=0
id=0x0000 flags=0x3C0E extra=0x00C1 sprite=0
id=0x0000 flags=0x3D0E extra=0x00C1 sprite=0
id=0x0000 flags=0x3E0E extra=0x00C1 sprite=0
id=0x0000 flags=0x3F0E extra=0x00C1 sprite=0
id=0x0000 flags=0x400E extra=0x00C1 sprite=0
id=0x0000 flags=0x410E extra=0x00C1 sprite=0
id=0x0000 flags=0x420E extra=0x00C1 sprite=0
id=0x0000 flags=0x430E extra=0x00C1 sprite=0
id=0x0000 flags=0x440E extra=0x00C1 sprite=0
id=0x0000 flags=0x450E extra=0x00C1 sprite=0
id=0x0000 flags=0x460E extra=0x00C1 sprite=0
id=0x0000 flags=0x470E extra=0x00C1 sprite=0
id=0x0000 flags=0x480E extra=0x00C1 sprite=0
id=0x0000 flags=0x490E extra=0x00C1 sprite=0
id=0x0000 flags=0x4A0E extra=0x00C1 sprite=0
id=0x0000 flags=0x4B0E extra=0x00C1 sprite=0
id=0x0000 flags=0x4C0E extra=0x00C1 sprite=0
id=0x0000 flags=0x4D0E extra=0x00C1 sprite=0
id=0x0000 flags=0x4E0E extra=0x00C1 sprite=0
id=0x0000 flags=0x4F0E extra=0x00C1 sprite=0
id=0x0000 flags=0x500E extra=0x00C1 sprite=0
id=0x0000 flags=0x510E extra=0x00C1 sprite=0
id=0x0000 flags=0x520E extra=0x00C1 sprite=0
id=0x0000 flags=0x530E extra=0x00C1 sprite=0
id=0x0000 flags=0x540E extra=0x00C1 sprite=0
id=0x0000 flags=0x550E extra=0x00C1 sprite=0
id=0x0000 flags=0x560E extra=0x00C1 sprite=0
id=0x0000 flags=0x570E extra=0x00C1 sprite=0
id=0x0000 flags=0x580E extra=0x00C1 sprite=0
id=0x0000 flags=0x590E extra=0x00C1 sprite=0
id=0x006A flags=0x0055 extra=0x006E sprite=85
id=0x006B flags=0x0055 extra=0x006F sprite=85
id=0x006C flags=0x0055 extra=0x0070 sprite=85
id=0x006D flags=0x0055 extra=0x0071 sprite=85
id=0x5B0E flags=0x00C1 extra=0x0470 sprite=106
id=0x0054 flags=0x006E extra=0x0054 sprite=107
id=0x0054 flags=0x006F extra=0x0054 sprite=108
id=0x0054 flags=0x0070 extra=0x0054 sprite=109
id=0x00E1 flags=0x0470 extra=0x006A sprite=86
id=0x006E flags=0x0056 extra=0x006B sprite=86
id=0x006F flags=0x0056 extra=0x006C sprite=86
id=0x0070 flags=0x0056 extra=0x006D sprite=86
id=0x0071 flags=0x0056 extra=0x5D0E sprite=193
id=0x0470 flags=0x006A extra=0x0057 sprite=110
id=0x0057 flags=0x006B extra=0x0057 sprite=111
id=0x0057 flags=0x006C extra=0x0057 sprite=112
id=0x0057 flags=0x006D extra=0x0057 sprite=113
id=0x006A flags=0x004F extra=0x006E sprite=79
id=0x006B flags=0x004F extra=0x006F sprite=79
id=0x006C flags=0x004F extra=0x0070 sprite=79
id=0x006D flags=0x004F extra=0x0071 sprite=79
id=0x5F0E flags=0x00C1 extra=0x0470 sprite=106
id=0x004E flags=0x006E extra=0x004E sprite=107
id=0x004E flags=0x006F extra=0x004E sprite=108
id=0x004E flags=0x0070 extra=0x004E sprite=109
id=0x00C1 flags=0x0470 extra=0x006A sprite=76
id=0x006E flags=0x004C extra=0x006B sprite=76
id=0x006F flags=0x004C extra=0x006C sprite=76
id=0x0070 flags=0x004C extra=0x006D sprite=76
id=0x0071 flags=0x004C extra=0x610E sprite=193
id=0x0470 flags=0x006A extra=0x004D sprite=110
id=0x004D flags=0x006B extra=0x004D sprite=111
id=0x004D flags=0x006C extra=0x004D sprite=112
id=0x004D flags=0x006D extra=0x004D sprite=113
id=0x006A flags=0x0050 extra=0x006E sprite=80
id=0x006B flags=0x0050 extra=0x006F sprite=80
id=0x006C flags=0x0050 extra=0x0070 sprite=80
id=0x006D flags=0x0050 extra=0x0071 sprite=80
id=0x630E flags=0x00E1 extra=0x0470 sprite=106
id=0x0051 flags=0x006E extra=0x0051 sprite=107
id=0x0051 flags=0x006F extra=0x0051 sprite=108
id=0x0051 flags=0x0070 extra=0x0051 sprite=109
id=0x00C1 flags=0x0470 extra=0x006A sprite=82
id=0x006E flags=0x0052 extra=0x006B sprite=82
id=0x006F flags=0x0052 extra=0x006C sprite=82
id=0x0070 flags=0x0052 extra=0x006D sprite=82
id=0x0071 flags=0x0052 extra=0x650E sprite=225
id=0x0470 flags=0x006A extra=0x0053 sprite=110
id=0x0053 flags=0x006B extra=0x0053 sprite=111
id=0x0053 flags=0x006C extra=0x0053 sprite=112
id=0x0053 flags=0x006D extra=0x0053 sprite=113
id=0x0053 flags=0x000F extra=0x00C1 sprite=0
id=0x0000 flags=0x010F extra=0x00C1 sprite=0
id=0x0000 flags=0x020F extra=0x00C1 sprite=0
id=0x0000 flags=0x030F extra=0x00C1 sprite=0
id=0x0000 flags=0x040F extra=0x00C1 sprite=0
id=0x0000 flags=0x050F extra=0x00C1 sprite=0
id=0x0000 flags=0x060F extra=0x00C1 sprite=0
id=0x0000 flags=0x070F extra=0x00C1 sprite=0
id=0x0000 flags=0x080F extra=0x00C1 sprite=0
id=0x0000 flags=0x090F extra=0x00C1 sprite=0
id=0x0000 flags=0x0A0F extra=0x00C1 sprite=0
id=0x0000 flags=0x0B0F extra=0x00C1 sprite=0
id=0x0000 flags=0x0C0F extra=0x00C1 sprite=0
id=0x0000 flags=0x0D0F extra=0x00C1 sprite=0
id=0x0000 flags=0x0E0F extra=0x00C1 sprite=0
id=0x0000 flags=0x0F0F extra=0x00C1 sprite=0
id=0x0000 flags=0x100F extra=0x00C1 sprite=0
id=0x0000 flags=0x110F extra=0x00C1 sprite=0
id=0x0000 flags=0x120F extra=0x00C1 sprite=0
id=0x0000 flags=0x130F extra=0x00C1 sprite=0
id=0x0000 flags=0x140F extra=0x00C1 sprite=0
id=0x0000 flags=0x150F extra=0x00C1 sprite=0
id=0x0000 flags=0x160F extra=0x00C1 sprite=0
id=0x0000 flags=0x170F extra=0x00C1 sprite=0
id=0x0000 flags=0x180F extra=0x00C1 sprite=0
id=0x0000 flags=0x190F extra=0x00C1 sprite=0
id=0x0000 flags=0x1A0F extra=0x00C1 sprite=0
id=0x0000 flags=0x1B0F extra=0x00C1 sprite=0
id=0x0000 flags=0x1C0F extra=0x00C1 sprite=0
id=0x0000 flags=0x1D0F extra=0x00C1 sprite=0
id=0x0000 flags=0x1E0F extra=0x00C1 sprite=0
id=0x0000 flags=0x1F0F extra=0x00C1 sprite=0
